event_title,event_date,event_venue,event_location,event_url,weight_class,fighter1,fighter2,winner,loser,method,round,time
UFC 298,2024-02-17,Honda Center,,https://en.wikipedia.org/wiki/UFC_298,Unknown,"Ilia Topuria:$350,000 (no win bonus)",Alexander,"Ilia Topuria:$350,000 (no win bonus)",Alexander,,,
UFC 298,2024-02-17,Honda Center,,https://en.wikipedia.org/wiki/UFC_298,Unknown,"Robert Whittaker:$400,000 (includes $100,000 win bonus)",Paulo,"Robert Whittaker:$400,000 (includes $100,000 win bonus)",Paulo,,,
UFC 298,2024-02-17,Honda Center,,https://en.wikipedia.org/wiki/UFC_298,Unknown,"Ian Machado Garry:$110,000 (includes $55,000 win bonus)",Geoff,"Ian Machado Garry:$110,000 (includes $55,000 win bonus)",Geoff,,,
UFC 298,2024-02-17,Honda Center,,https://en.wikipedia.org/wiki/UFC_298,Unknown,"Merab Dvalishvili:$210,000 (includes $105,000 win bonus)",Henry,"Merab Dvalishvili:$210,000 (includes $105,000 win bonus)",Henry,,,
UFC 298,2024-02-17,Honda Center,,https://en.wikipedia.org/wiki/UFC_298,Unknown,"Anthony Hernandez:$132,000 (includes $66,000 win bonus)",Roman,"Anthony Hernandez:$132,000 (includes $66,000 win bonus)",Roman,KO,,
UFC 298,2024-02-17,Honda Center,,https://en.wikipedia.org/wiki/UFC_298,Unknown,"Amanda Lemos:$160,000 (includes $80,000 win bonus)",Mackenzie,"Amanda Lemos:$160,000 (includes $80,000 win bonus)",Mackenzie,,,
UFC 298,2024-02-17,Honda Center,,https://en.wikipedia.org/wiki/UFC_298,Unknown,"Marcos Rogério de Lima:$200,000 (includes $100,000 win bonus)",Junior,"Marcos Rogério de Lima:$200,000 (includes $100,000 win bonus)",Junior,,,
UFC 298,2024-02-17,Honda Center,,https://en.wikipedia.org/wiki/UFC_298,Unknown,"Rinya Nakamura:$46,000 (includes $23,000 win bonus)",Carlos,"Rinya Nakamura:$46,000 (includes $23,000 win bonus)",Carlos,,,
UFC 298,2024-02-17,Honda Center,,https://en.wikipedia.org/wiki/UFC_298,Unknown,"Zhang Mingyang:$20,000 (includes $10,000 win bonus)",Brendson,"Zhang Mingyang:$20,000 (includes $10,000 win bonus)",Brendson,,,
UFC 298,2024-02-17,Honda Center,,https://en.wikipedia.org/wiki/UFC_298,Unknown,"Danny Barlow:$20,000 (includes $10,000 win bonus)",Josh,"Danny Barlow:$20,000 (includes $10,000 win bonus)",Josh,,,
UFC 298,2024-02-17,Honda Center,,https://en.wikipedia.org/wiki/UFC_298,Unknown,"Oban Elliott:$20,000 (includes $10,000 win bonus)",Val,"Oban Elliott:$20,000 (includes $10,000 win bonus)",Val,,,
UFC 298,2024-02-17,Honda Center,,https://en.wikipedia.org/wiki/UFC_298,Unknown,"Miranda Maverick:$150,000 (includes $75,000 win bonus)",Andrea,"Miranda Maverick:$150,000 (includes $75,000 win bonus)",Andrea,,,
UFC 292,2023-08-19,TD Garden,,https://en.wikipedia.org/wiki/UFC_292,Unknown,"Sean O’Malley: $500,000 (no win bonus)",Aljamain,"Sean O’Malley: $500,000 (no win bonus)",Aljamain,,,
UFC 292,2023-08-19,TD Garden,,https://en.wikipedia.org/wiki/UFC_292,Unknown,"Zhang Weili: $520,000 (no win bonus)",Amanda,"Zhang Weili: $520,000 (no win bonus)",Amanda,,,
UFC 292,2023-08-19,TD Garden,,https://en.wikipedia.org/wiki/UFC_292,Unknown,"Ian Machado Garry: $100,000 (includes $50,000 win bonus)",Neil,"Ian Machado Garry: $100,000 (includes $50,000 win bonus)",Neil,,,
UFC 292,2023-08-19,TD Garden,,https://en.wikipedia.org/wiki/UFC_292,Unknown,"Mario Bautista: $86,000 (includes $43,000 win bonus)",Da’Mon,"Mario Bautista: $86,000 (includes $43,000 win bonus)",Da’Mon,,,
UFC 292,2023-08-19,TD Garden,,https://en.wikipedia.org/wiki/UFC_292,Unknown,"Marlon Vera: $310,000 (includes $155,000 win bonus)",Pedro,"Marlon Vera: $310,000 (includes $155,000 win bonus)",Pedro,,,
UFC 292,2023-08-19,TD Garden,,https://en.wikipedia.org/wiki/UFC_292,Unknown,"Brad Tavares: $200,000 (includes $100,000 win bonus)",Chris,"Brad Tavares: $200,000 (includes $100,000 win bonus)",Chris,,,
UFC 292,2023-08-19,TD Garden,,https://en.wikipedia.org/wiki/UFC_292,Unknown,"Gregory Rodrigues: $100,000 (includes $50,000 win bonus)",Denis,"Gregory Rodrigues: $100,000 (includes $50,000 win bonus)",Denis,,,
UFC 292,2023-08-19,TD Garden,,https://en.wikipedia.org/wiki/UFC_292,Unknown,"Kurt Holobaugh: $30,000 (includes $15,000 win bonus)",Austin,"Kurt Holobaugh: $30,000 (includes $15,000 win bonus)",Austin,,,
UFC 292,2023-08-19,TD Garden,,https://en.wikipedia.org/wiki/UFC_292,Unknown,"Brad Katona: $64,000 (includes $32,000 win bonus)",Cody,"Brad Katona: $64,000 (includes $32,000 win bonus)",Cody,,,
UFC 292,2023-08-19,TD Garden,,https://en.wikipedia.org/wiki/UFC_292,Unknown,"Andre Petroski: $36,000 (includes $18,000 win bonus)",Gerald,"Andre Petroski: $36,000 (includes $18,000 win bonus)",Gerald,,,
UFC 292,2023-08-19,TD Garden,,https://en.wikipedia.org/wiki/UFC_292,Unknown,"Natália Silva: $80,000 (includes $40,000 win bonus)",Andrea,"Natália Silva: $80,000 (includes $40,000 win bonus)",Andrea,,,
UFC 292,2023-08-19,TD Garden,,https://en.wikipedia.org/wiki/UFC_292,Unknown,"Karine Silva: $28,000 (includes $14,000 win bonus)",Maryna,"Karine Silva: $28,000 (includes $14,000 win bonus)",Maryna,,,
UFC 291,2023-07-29,Delta Center,,https://en.wikipedia.org/wiki/UFC_291,Unknown,"Kevin Holland: $356,000 (includes $178,000 win bonus)",Michael,"Kevin Holland: $356,000 (includes $178,000 win bonus)",Michael,,,
UFC 291,2023-07-29,Delta Center,,https://en.wikipedia.org/wiki/UFC_291,Unknown,"Bobby Green: $300,000 (includes $150,000 win bonus)",Tony,"Bobby Green: $300,000 (includes $150,000 win bonus)",Tony,,,
UFC 291,2023-07-29,Delta Center,,https://en.wikipedia.org/wiki/UFC_291,Unknown,"CJ Vergara: $60,000 (includes $30,000 win bonus)",Vinicius,"CJ Vergara: $60,000 (includes $30,000 win bonus)",Vinicius,,,
UFC 291,2023-07-29,Delta Center,,https://en.wikipedia.org/wiki/UFC_291,Unknown,"Gabriel Bonfim: $24,000 (includes $12,000 win bonus)",Trevin,"Gabriel Bonfim: $24,000 (includes $12,000 win bonus)",Trevin,,,
UFC 278,2022-08-20,Vivint Arena,,https://en.wikipedia.org/wiki/UFC_278,Unknown,"Leon Edwards: $350,000 (no win bonus)",Kamaru,"Leon Edwards: $350,000 (no win bonus)",Kamaru,,,
UFC 278,2022-08-20,Vivint Arena,,https://en.wikipedia.org/wiki/UFC_278,Unknown,"Paulo Costa: $130,000 (includes $65,000 win bonus)",Luke,"Paulo Costa: $130,000 (includes $65,000 win bonus)",Luke,,,
UFC 278,2022-08-20,Vivint Arena,,https://en.wikipedia.org/wiki/UFC_278,Unknown,"Merab Dvalishvili: $198,000 (includes $99,000 win bonus)",José,"Merab Dvalishvili: $198,000 (includes $99,000 win bonus)",José,,,
UFC 278,2022-08-20,Vivint Arena,,https://en.wikipedia.org/wiki/UFC_278,Unknown,"Lucie Pudilová: $48,000 (includes $24,000 win bonus)",Wu,"Lucie Pudilová: $48,000 (includes $24,000 win bonus)",Wu,,,
UFC 278,2022-08-20,Vivint Arena,,https://en.wikipedia.org/wiki/UFC_278,Unknown,"Tyson Pedro: $86,000 (includes $43,000 win bonus)",Harry,"Tyson Pedro: $86,000 (includes $43,000 win bonus)",Harry,,,
