event_title,event_date,event_venue,event_url,weight_class,fighter1,fighter2,winner,loser,method,round,time,card_type,result_type
UFC 317,"June 28, 2025",T-Mobile Arena,https://en.wikipedia.org/wiki/UFC_317,Lightweight,Ilia Topuria,Charles Oliveira,Ilia Topuria,Charles Oliveira,KO (punches),1,2:27,Main card,completed
UFC 317,"June 28, 2025",T-Mobile Arena,https://en.wikipedia.org/wiki/UFC_317,Flyweight,Alexandre Pantoja (c),Kai Kara-France,Alexandre Pantoja (c),Kai Kara-France,Submission (rear-naked choke),3,1:55,Main card,completed
UFC 317,"June 28, 2025",T-Mobile Arena,https://en.wikipedia.org/wiki/UFC_317,Flyweight,Joshua Van,Brandon Royval,Joshua Van,Brandon Royval,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00,Main card,completed
UFC 317,"June 28, 2025",T-Mobile Arena,https://en.wikipedia.org/wiki/UFC_317,Lightweight,Beneil Dariush,Renato Moicano,Beneil Dariush,Renato Moicano,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,Main card,completed
UFC 317,"June 28, 2025",T-Mobile Arena,https://en.wikipedia.org/wiki/UFC_317,Bantamweight,Payton Talbott,Felipe Lima,Payton Talbott,Felipe Lima,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,Main card,completed
UFC 317,"June 28, 2025",T-Mobile Arena,https://en.wikipedia.org/wiki/UFC_317,Middleweight,Gregory Rodrigues,Jack Hermansson,Gregory Rodrigues,Jack Hermansson,KO (punch),1,4:21,Preliminary card (ESPN / ESPN+ / Disney+),completed
UFC 317,"June 28, 2025",T-Mobile Arena,https://en.wikipedia.org/wiki/UFC_317,Featherweight,Jose Miguel Delgado,Hyder Amil,Jose Miguel Delgado,Hyder Amil,KO (knee and elbows),1,0:26,Preliminary card (ESPN / ESPN+ / Disney+),completed
UFC 317,"June 28, 2025",T-Mobile Arena,https://en.wikipedia.org/wiki/UFC_317,Women's Flyweight,Tracy Cortez,Viviane Araújo,Tracy Cortez,Viviane Araújo,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,Preliminary card (ESPN / ESPN+ / Disney+),completed
UFC 317,"June 28, 2025",T-Mobile Arena,https://en.wikipedia.org/wiki/UFC_317,Lightweight,Terrance McKinney,Viacheslav Borshchev,Terrance McKinney,Viacheslav Borshchev,Submission (guillotine choke),1,0:55,Preliminary card (ESPN / ESPN+ / Disney+),completed
UFC 317,"June 28, 2025",T-Mobile Arena,https://en.wikipedia.org/wiki/UFC_317,Welterweight,Jacobe Smith,Niko Price,Jacobe Smith,Niko Price,Submission (rear-naked choke),2,4:03,Preliminary card (ESPN+ / Disney+ / UFC Fight Pass),completed
UFC 317,"June 28, 2025",T-Mobile Arena,https://en.wikipedia.org/wiki/UFC_317,Heavyweight,Jhonata Diniz,Alvin Hines,Jhonata Diniz,Alvin Hines,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,Preliminary card (ESPN+ / Disney+ / UFC Fight Pass),completed
UFC 316,"June 7, 2025",Prudential Center,https://en.wikipedia.org/wiki/UFC_316,Bantamweight,Merab Dvalishvili (c),Sean O'Malley,Merab Dvalishvili (c),Sean O'Malley,Submission (north-south choke),3,4:42,Main card,completed
UFC 316,"June 7, 2025",Prudential Center,https://en.wikipedia.org/wiki/UFC_316,Women's Bantamweight,Kayla Harrison,Julianna Peña (c),Kayla Harrison,Julianna Peña (c),Submission (kimura),2,4:55,Main card,completed
UFC 316,"June 7, 2025",Prudential Center,https://en.wikipedia.org/wiki/UFC_316,Middleweight,Joe Pyfer,Kelvin Gastelum,Joe Pyfer,Kelvin Gastelum,"Decision (unanimous) (29–28, 29–27, 30–27)",3,5:00,Main card,completed
