name,division,record,url,height,weight,reach,stance,dob,hometown,team,scraped_at
Ilia Topuria,Lightweight Division17-0-0 (W-L-D),17-0-0,https://www.ufc.com/athlete/ilia-topuria,,,,,,,,2025-07-14T01:38:30.019590
Islam Makhachev,Lightweight Division27-1-0 (W-L-D),27-1-0,https://www.ufc.com/athlete/islam-makhachev,,,,,,,,2025-07-14T01:38:31.083092
Merab Dvalishvili,Bantamweight Division20-4-0 (W-L-D),20-4-0,https://www.ufc.com/athlete/merab-dvalishvili,,,,,,,,2025-07-14T01:38:32.146644
Dricus Du Plessis,Middleweight Division23-2-0 (W-L-D),23-2-0,https://www.ufc.com/athlete/dricus-du-plessis,,,,,,,,2025-07-14T01:38:33.211847
Alexandre Pantoja,Flyweight Division30-5-0 (W-L-D),30-5-0,https://www.ufc.com/athlete/alexandre-pantoja,,,,,,,,2025-07-14T01:38:34.272556
Alexander Volkanovski,Featherweight Division27-4-0 (W-L-D),27-4-0,https://www.ufc.com/athlete/alexander-volkanovski,,,,,,,,2025-07-14T01:38:35.346373
Magomed Ankalaev,Light Heavyweight Division21-1-1 (W-L-D),21-1-1,https://www.ufc.com/athlete/magomed-ankalaev,,,,,,,,2025-07-14T01:38:36.420048
Jack Della Maddalena,Welterweight Division18-2-0 (W-L-D),18-2-0,https://www.ufc.com/athlete/jack-della-maddalena,,,,,,,,2025-07-14T01:38:37.908525
Tom Aspinall,Heavyweight Division15-3-0 (W-L-D),15-3-0,https://www.ufc.com/athlete/tom-aspinall,,,,,,,,2025-07-14T01:38:39.540851
Alex Pereira,Light Heavyweight Division12-3-0 (W-L-D),12-3-0,https://www.ufc.com/athlete/alex-pereira,,,,,,,,2025-07-14T01:38:40.707505
Max Holloway,Featherweight Division26-8-0 (W-L-D),26-8-0,https://www.ufc.com/athlete/max-holloway,,,,,,,,2025-07-14T01:38:41.844114
Belal Muhammad,Welterweight Division24-4-0 (W-L-D),24-4-0,https://www.ufc.com/athlete/belal-muhammad,,,,,,,,2025-07-14T01:38:42.927726
Arman Tsarukyan,Lightweight Division22-3-0 (W-L-D),22-3-0,https://www.ufc.com/athlete/arman-tsarukyan,,,,,,,,2025-07-14T01:38:44.002904
Khamzat Chimaev,Middleweight Division14-0-0 (W-L-D),14-0-0,https://www.ufc.com/athlete/khamzat-chimaev,,,,,,,,2025-07-14T01:38:45.066729
Charles Oliveira,Lightweight Division35-11-0 (W-L-D),35-11-0,https://www.ufc.com/athlete/charles-oliveira,,,,,,,,2025-07-14T01:38:46.135276
Joshua Van,Flyweight Division15-2-0 (W-L-D),15-2-0,https://www.ufc.com/athlete/joshua-van,,,,,,,,2025-07-14T01:38:47.228693
