id,event_id,fighter1,fighter2,winner,method,round,time,source,scraped_at
1,1,"Ilia Topuria","Charles Oliveira","Ilia Topuria","KO (punches)",,,wikipedia,2025-07-11T23:59:13.292029
2,1,"Alexandre Pantoja","Kai Kara-France","Alexandre Pantoja","Submission (rear-naked choke)",,,wikipedia,2025-07-11T23:59:13.292282
3,1,"Joshua Van","Brandon Royval","Joshua Van","Decision (unanimous) (29–28, 29–28, 30–27)",,,wikipedia,2025-07-11T23:59:13.292297
4,1,"Beneil Dariush","Renato Moicano","Beneil Dariush","Decision (unanimous) (29–28, 29–28, 29–28)",,,wikipedia,2025-07-11T23:59:13.292308
5,1,"Payton Talbott","Felipe Lima","Payton Talbott","Decision (unanimous) (29–28, 29–28, 29–28)",,,wikipedia,2025-07-11T23:59:13.292316
6,1,"Gregory Rodrigues","Jack Hermansson","Gregory Rodrigues","KO (punch)",,,wikipedia,2025-07-11T23:59:13.292324
7,1,"Jose Miguel Delgado","Hyder Amil","Jose Miguel Delgado","KO (knee and elbows)",,,wikipedia,2025-07-11T23:59:13.292332
8,1,"Tracy Cortez","Viviane Araújo","Tracy Cortez","Decision (unanimous) (30–27, 30–27, 30–27)",,,wikipedia,2025-07-11T23:59:13.292340
9,1,"Terrance McKinney","Viacheslav Borshchev","Terrance McKinney","Submission (guillotine choke)",,,wikipedia,2025-07-11T23:59:13.292347
10,1,"Jacobe Smith","Niko Price","Jacobe Smith","Submission (rear-naked choke)",,,wikipedia,2025-07-11T23:59:13.292355
11,1,"Jhonata Diniz","Alvin Hines","Jhonata Diniz","Decision (unanimous) (29–28, 29–28, 29–28)",,,wikipedia,2025-07-11T23:59:13.292362
12,2,"Ilia Topuria","Charles Oliveira","Ilia Topuria","KO (punches)",,,wikipedia,2025-07-11T23:59:13.292383
13,2,"Alexandre Pantoja","Kai Kara-France","Alexandre Pantoja","Submission (rear-naked choke)",,,wikipedia,2025-07-11T23:59:13.292391
14,2,"Joshua Van","Brandon Royval","Joshua Van","Decision (unanimous) (29–28, 29–28, 30–27)",,,wikipedia,2025-07-11T23:59:13.292398
15,2,"Beneil Dariush","Renato Moicano","Beneil Dariush","Decision (unanimous) (29–28, 29–28, 29–28)",,,wikipedia,2025-07-11T23:59:13.292406
16,2,"Payton Talbott","Felipe Lima","Payton Talbott","Decision (unanimous) (29–28, 29–28, 29–28)",,,wikipedia,2025-07-11T23:59:13.292414
17,2,"Gregory Rodrigues","Jack Hermansson","Gregory Rodrigues","KO (punch)",,,wikipedia,2025-07-11T23:59:13.292421
18,2,"Jose Miguel Delgado","Hyder Amil","Jose Miguel Delgado","KO (knee and elbows)",,,wikipedia,2025-07-11T23:59:13.292428
19,2,"Tracy Cortez","Viviane Araújo","Tracy Cortez","Decision (unanimous) (30–27, 30–27, 30–27)",,,wikipedia,2025-07-11T23:59:13.292436
20,2,"Terrance McKinney","Viacheslav Borshchev","Terrance McKinney","Submission (guillotine choke)",,,wikipedia,2025-07-11T23:59:13.292443
21,2,"Jacobe Smith","Niko Price","Jacobe Smith","Submission (rear-naked choke)",,,wikipedia,2025-07-11T23:59:13.292450
22,2,"Jhonata Diniz","Alvin Hines","Jhonata Diniz","Decision (unanimous) (29–28, 29–28, 29–28)",,,wikipedia,2025-07-11T23:59:13.292457
23,3,"Ilia Topuria","Charles Oliveira","Ilia Topuria","KO (punches)",,,wikipedia,2025-07-11T23:59:13.292473
24,3,"Alexandre Pantoja","Kai Kara-France","Alexandre Pantoja","Submission (rear-naked choke)",,,wikipedia,2025-07-11T23:59:13.292481
25,3,"Joshua Van","Brandon Royval","Joshua Van","Decision (unanimous) (29–28, 29–28, 30–27)",,,wikipedia,2025-07-11T23:59:13.292488
26,3,"Beneil Dariush","Renato Moicano","Beneil Dariush","Decision (unanimous) (29–28, 29–28, 29–28)",,,wikipedia,2025-07-11T23:59:13.292495
27,3,"Payton Talbott","Felipe Lima","Payton Talbott","Decision (unanimous) (29–28, 29–28, 29–28)",,,wikipedia,2025-07-11T23:59:13.292503
28,3,"Gregory Rodrigues","Jack Hermansson","Gregory Rodrigues","KO (punch)",,,wikipedia,2025-07-11T23:59:13.292511
29,3,"Jose Miguel Delgado","Hyder Amil","Jose Miguel Delgado","KO (knee and elbows)",,,wikipedia,2025-07-11T23:59:13.292518
30,3,"Tracy Cortez","Viviane Araújo","Tracy Cortez","Decision (unanimous) (30–27, 30–27, 30–27)",,,wikipedia,2025-07-11T23:59:13.292526
31,3,"Terrance McKinney","Viacheslav Borshchev","Terrance McKinney","Submission (guillotine choke)",,,wikipedia,2025-07-11T23:59:13.292533
32,3,"Jacobe Smith","Niko Price","Jacobe Smith","Submission (rear-naked choke)",,,wikipedia,2025-07-11T23:59:13.292541
33,3,"Jhonata Diniz","Alvin Hines","Jhonata Diniz","Decision (unanimous) (29–28, 29–28, 29–28)",,,wikipedia,2025-07-11T23:59:13.292548
34,4,"Merab Dvalishvili","Sean O'Malley","Merab Dvalishvili","Submission (north-south choke)",,,wikipedia,2025-07-11T23:59:13.292612
35,4,"Kayla Harrison","Julianna Peña","Kayla Harrison","Submission (kimura)",,,wikipedia,2025-07-11T23:59:13.292621
36,4,"Joe Pyfer","Kelvin Gastelum","Joe Pyfer","Decision (unanimous) (29–28, 29–27, 30–27)",,,wikipedia,2025-07-11T23:59:13.292628
37,4,"Mario Bautista","Patchy Mix","Mario Bautista","Decision (unanimous) (29–28, 30–27, 30–27)",,,wikipedia,2025-07-11T23:59:13.292636
38,4,"Kevin Holland","Vicente Luque","Kevin Holland","Submission (brabo choke)",,,wikipedia,2025-07-11T23:59:13.292643
39,4,"Joshua Van","Bruno Gustavo da Silva","Joshua Van","TKO (punches)",,,wikipedia,2025-07-11T23:59:13.292650
40,4,"Azamat Murzakanov","Brendson Ribeiro","Azamat Murzakanov","TKO (submission to punches)",,,wikipedia,2025-07-11T23:59:13.292657
