name,date,venue,location,status,event_type,url,scraped_at
UFC Fight Night 263,"Nov 22, 2025",Ali Bin Hamad al-Attiyah Arena,Doha,scheduled,numbered,https://en.wikipedia.org/wiki/UFC_Fight_Night_263,2025-07-29T14:58:05.888373
UFC 321: Aspinall vs. Gane,"Oct 25, 2025",Etihad Arena,Abu Dhabi,scheduled,numbered,https://en.wikipedia.org/wiki/UFC_321,2025-07-29T14:58:05.888438
UFC Fight Night 262,"Oct 18, 2025",Rogers Arena,Vancouver,scheduled,numbered,https://en.wikipedia.org/wiki/UFC_Fight_Night_262,2025-07-29T14:58:05.888496
UFC Fight Night 261,"Oct 11, 2025",Farmasi Arena,Rio de Janeiro,scheduled,numbered,https://en.wikipedia.org/wiki/UFC_Fight_Night_261,2025-07-29T14:58:05.888547
UFC 320: Ankalaev vs. Pereira 2,"Oct 4, 2025",T-Mobile Arena,Las Vegas,scheduled,numbered,https://en.wikipedia.org/wiki/UFC_320,2025-07-29T14:58:05.888598
UFC Fight Night 260,"Sep 28, 2025",RAC Arena,Perth,scheduled,numbered,https://en.wikipedia.org/wiki/UFC_Fight_Night_260,2025-07-29T14:58:05.888645
UFC Fight Night: Lopes vs. Silva,"Sep 13, 2025",Frost Bank Center,"San Antonio, Texas",scheduled,fight_night,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lopes_vs._Silva,2025-07-29T14:58:05.888694
UFC Fight Night: Imavov vs. Borralho,"Sep 6, 2025",Accor Arena,Paris,scheduled,fight_night,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Imavov_vs._Borralho,2025-07-29T14:58:05.888741
UFC Fight Night: Walker vs. Zhang,"Aug 23, 2025",Shanghai Indoor Stadium,Shanghai,scheduled,fight_night,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Walker_vs._Zhang,2025-07-29T14:58:05.888789
UFC 319: du Plessis vs. Chimaev,"Aug 16, 2025",United Center,"Chicago, Illinois",scheduled,numbered,https://en.wikipedia.org/wiki/UFC_319,2025-07-29T14:58:05.888835
UFC on ESPN: Dolidze vs. Hernandez,"Aug 9, 2025",UFC Apex,"Las Vegas, Nevada",scheduled,espn,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Dolidze_vs._Hernandez,2025-07-29T14:58:05.888882
741,UFC on ABC: Whittaker vs. de Ridder,"Jul 26, 2025",Etihad Arena,completed,other,,2025-07-29T14:58:05.892636
740,UFC 318: Holloway vs. Poirier 3,"Jul 19, 2025",Smoothie King Center,completed,other,,2025-07-29T14:58:05.892696
739,UFC on ESPN: Lewis vs. Teixeira,"Jul 12, 2025",Bridgestone Arena,completed,other,,2025-07-29T14:58:05.892750
738,UFC 317: Topuria vs. Oliveira,"Jun 28, 2025",T-Mobile Arena,completed,other,,2025-07-29T14:58:05.892803
737,UFC on ABC: Hill vs. Rountree Jr.,"Jun 21, 2025",Baku Crystal Hall,completed,other,,2025-07-29T14:58:05.892854
736,UFC on ESPN: Usman vs. Buckley,"Jun 14, 2025",State Farm Arena,completed,other,,2025-07-29T14:58:05.892904
735,UFC 316: Dvalishvili vs. O'Malley 2,"Jun 7, 2025",Prudential Center,completed,other,,2025-07-29T14:58:05.892956
734,UFC on ESPN: Gamrot vs. Klein,"May 31, 2025",UFC Apex,completed,other,,2025-07-29T14:58:05.893004
733,UFC Fight Night: Burns vs. Morales,"May 17, 2025",[29],completed,other,,2025-07-29T14:58:05.893044
732,UFC 315: Muhammad vs. Della Maddalena,"May 10, 2025",Bell Centre,completed,other,,2025-07-29T14:58:05.893099
731,UFC on ESPN: Sandhagen vs. Figueiredo,"May 3, 2025",Wells Fargo Arena,completed,other,,2025-07-29T14:58:05.893151
730,UFC on ESPN: Machado Garry vs. Prates,"Apr 26, 2025",T-Mobile Center,completed,other,,2025-07-29T14:58:05.893202
729,UFC 314: Volkanovski vs. Lopes,"Apr 12, 2025",Kaseya Center,completed,other,,2025-07-29T14:58:05.893252
728,UFC on ESPN: Emmett vs. Murphy,"Apr 5, 2025",UFC Apex,completed,other,,2025-07-29T14:58:05.893300
727,UFC on ESPN: Moreno vs. Erceg,"Mar 29, 2025",Arena CDMX,completed,other,,2025-07-29T14:58:05.893349
