name,date,venue,location,status,event_type,url,fight_count,scraped_at
UFC Fight Night 263,"Nov 22, 2025",Ali Bin Hamad al-Attiyah Arena,Doha,scheduled,numbered,https://en.wikipedia.org/wiki/UFC_Fight_Night_263,2,2025-07-29T15:46:32.784283
UFC 321: Aspinall vs. Gane,"Oct 25, 2025",Etihad Arena,Abu Dhabi,scheduled,numbered,https://en.wikipedia.org/wiki/UFC_321,8,2025-07-29T15:46:32.784356
UFC Fight Night 262,"Oct 18, 2025",Rogers Arena,Vancouver,scheduled,numbered,https://en.wikipedia.org/wiki/UFC_Fight_Night_262,3,2025-07-29T15:46:32.784422
UFC Fight Night 261,"Oct 11, 2025",Farmasi Arena,Rio de Janeiro,scheduled,numbered,https://en.wikipedia.org/wiki/UFC_Fight_Night_261,2,2025-07-29T15:46:32.784477
UFC 320: Ankalaev vs. Pereira 2,"Oct 4, 2025",T-Mobile Arena,Las Vegas,scheduled,numbered,https://en.wikipedia.org/wiki/UFC_320,5,2025-07-29T15:46:32.784532
UFC Fight Night 260,"Sep 28, 2025",RAC Arena,Perth,scheduled,numbered,https://en.wikipedia.org/wiki/UFC_Fight_Night_260,6,2025-07-29T15:46:32.784585
UFC Fight Night: Lopes vs. Silva,"Sep 13, 2025",Frost Bank Center,"San Antonio, Texas",scheduled,fight_night,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lopes_vs._Silva,7,2025-07-29T15:46:32.784639
UFC Fight Night: Imavov vs. Borralho,"Sep 6, 2025",Accor Arena,Paris,scheduled,fight_night,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Imavov_vs._Borralho,11,2025-07-29T15:46:32.784692
UFC Fight Night: Walker vs. Zhang,"Aug 23, 2025",Shanghai Indoor Stadium,Shanghai,scheduled,fight_night,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Walker_vs._Zhang,12,2025-07-29T15:46:32.784746
UFC 319: du Plessis vs. Chimaev,"Aug 16, 2025",United Center,"Chicago, Illinois",scheduled,numbered,https://en.wikipedia.org/wiki/UFC_319,13,2025-07-29T15:46:32.784796
UFC on ESPN: Dolidze vs. Hernandez,"Aug 9, 2025",UFC Apex,"Las Vegas, Nevada",scheduled,espn,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Dolidze_vs._Hernandez,11,2025-07-29T15:46:32.784850
