name,division,record,url,height,weight,reach,stance,dob,hometown,team,scraped_at
Ilia Topuria,Lightweight Division17-0-0 (W-L-D),17-0-0,https://www.ufc.com/athlete/ilia-topuria,,,,,,,,2025-07-23T14:40:12.172988
Islam Makhachev,Lightweight Division27-1-0 (W-L-D),27-1-0,https://www.ufc.com/athlete/islam-makhachev,,,,,,,,2025-07-23T14:40:13.244750
Merab Dvalishvili,Bantamweight Division20-4-0 (W-L-D),20-4-0,https://www.ufc.com/athlete/merab-dvalishvili,,,,,,,,2025-07-23T14:40:14.328799
Dricus Du Plessis,Middleweight Division23-2-0 (W-L-D),23-2-0,https://www.ufc.com/athlete/dricus-du-plessis,,,,,,,,2025-07-23T14:40:15.420955
Alexandre Pantoja,Flyweight Division30-5-0 (W-L-D),30-5-0,https://www.ufc.com/athlete/alexandre-pantoja,,,,,,,,2025-07-23T14:40:16.492709
Alexander Volkanovski,Featherweight Division27-4-0 (W-L-D),27-4-0,https://www.ufc.com/athlete/alexander-volkanovski,,,,,,,,2025-07-23T14:40:17.563413
Magomed Ankalaev,Light Heavyweight Division21-1-1 (W-L-D),21-1-1,https://www.ufc.com/athlete/magomed-ankalaev,,,,,,,,2025-07-23T14:40:18.653319
Jack Della Maddalena,Welterweight Division18-2-0 (W-L-D),18-2-0,https://www.ufc.com/athlete/jack-della-maddalena,,,,,,,,2025-07-23T14:40:19.746322
Tom Aspinall,Heavyweight Division15-3-0 (W-L-D),15-3-0,https://www.ufc.com/athlete/tom-aspinall,,,,,,,,2025-07-23T14:40:20.833724
Alex Pereira,Light Heavyweight Division12-3-0 (W-L-D),12-3-0,https://www.ufc.com/athlete/alex-pereira,,,,,,,,2025-07-23T14:40:22.012274
Max Holloway,Lightweight Division27-8-0 (W-L-D),27-8-0,https://www.ufc.com/athlete/max-holloway,,,,,,,,2025-07-23T14:40:23.191781
Belal Muhammad,Welterweight Division24-4-0 (W-L-D),24-4-0,https://www.ufc.com/athlete/belal-muhammad,,,,,,,,2025-07-23T14:40:24.293412
Arman Tsarukyan,Lightweight Division22-3-0 (W-L-D),22-3-0,https://www.ufc.com/athlete/arman-tsarukyan,,,,,,,,2025-07-23T14:40:25.408899
Khamzat Chimaev,Middleweight Division14-0-0 (W-L-D),14-0-0,https://www.ufc.com/athlete/khamzat-chimaev,,,,,,,,2025-07-23T14:40:26.496324
Charles Oliveira,Lightweight Division35-11-0 (W-L-D),35-11-0,https://www.ufc.com/athlete/charles-oliveira,,,,,,,,2025-07-23T14:40:27.588687
Joshua Van,Flyweight Division15-2-0 (W-L-D),15-2-0,https://www.ufc.com/athlete/joshua-van,,,,,,,,2025-07-23T14:40:28.689062
Brandon Moreno,Flyweight Division23-8-2 (W-L-D),23-8-2,https://www.ufc.com/athlete/brandon-moreno,,,,,,,,2025-07-23T14:40:29.765020
Brandon Royval,Flyweight Division17-8-0 (W-L-D),17-8-0,https://www.ufc.com/athlete/brandon-royval,,,,,,,,2025-07-23T14:40:30.868674
Amir Albazi,Flyweight Division17-2-0 (W-L-D),17-2-0,https://www.ufc.com/athlete/amir-albazi,,,,,,,,2025-07-23T14:40:31.945272
Kai Kara-France,Flyweight Division25-12-0 (W-L-D),25-12-0,https://www.ufc.com/athlete/kai-kara-france,,,,,,,,2025-07-23T14:40:33.109401
Tatsuro Taira,Flyweight Division16-1-0 (W-L-D),16-1-0,https://www.ufc.com/athlete/tatsuro-taira,,,,,,,,2025-07-23T14:40:34.238479
Manel Kape,Flyweight Division21-7-0 (W-L-D),21-7-0,https://www.ufc.com/athlete/manel-kape,,,,,,,,2025-07-23T14:40:35.352845
Alex Perez,Flyweight Division25-9-0 (W-L-D),25-9-0,https://www.ufc.com/athlete/alex-perez,,,,,,,,2025-07-23T14:40:36.450282
Asu Almabayev,Flyweight Division21-3-0 (W-L-D),21-3-0,https://www.ufc.com/athlete/assu-almabayev,,,,,,,,2025-07-23T14:40:37.553511
Steve Erceg,Flyweight Division12-4-0 (W-L-D),12-4-0,https://www.ufc.com/athlete/steve-erceg,,,,,,,,2025-07-23T14:40:38.671311
Tim Elliott,Flyweight Division21-13-1 (W-L-D),21-13-1,https://www.ufc.com/athlete/tim-elliott,,,,,,,,2025-07-23T14:40:39.767655
Tagir Ulanbekov,Flyweight Division17-2-0 (W-L-D),17-2-0,https://www.ufc.com/athlete/tagir-ulanbekov,,,,,,,,2025-07-23T14:40:40.885252
Ramazan Temirov,Flyweight Division19-3-0 (W-L-D),19-3-0,https://www.ufc.com/athlete/ramazan-temirov,,,,,,,,2025-07-23T14:40:41.982761
Bruno Silva,Flyweight Division14-7-2 (W-L-D),14-7-2,https://www.ufc.com/athlete/bruno-silva,,,,,,,,2025-07-23T14:40:43.090737
Kai Asakura,Flyweight Division21-5-0 (W-L-D),21-5-0,https://www.ufc.com/athlete/kai-asakura,,,,,,,,2025-07-23T14:40:44.282275
Sean O'Malley,Bantamweight Division18-3-0 (W-L-D),18-3-0,https://www.ufc.com/athlete/sean-omalley,,,,,,,,2025-07-23T14:40:45.399876
Umar Nurmagomedov,Bantamweight Division18-1-0 (W-L-D),18-1-0,https://www.ufc.com/athlete/umar-nurmagomedov,,,,,,,,2025-07-23T14:40:46.516238
Petr Yan,Bantamweight Division18-5-0 (W-L-D),18-5-0,https://www.ufc.com/athlete/petr-yan,,,,,,,,2025-07-23T14:40:47.726141
Cory Sandhagen,Bantamweight Division18-5-0 (W-L-D),18-5-0,https://www.ufc.com/athlete/cory-sandhagen,,,,,,,,2025-07-23T14:40:48.820455
Song Yadong,Bantamweight Division22-8-1 (W-L-D),22-8-1,https://www.ufc.com/athlete/yadong-song,,,,,,,,2025-07-23T14:40:49.924822
Deiveson Figueiredo,Bantamweight Division24-5-1 (W-L-D),24-5-1,https://www.ufc.com/athlete/deiveson-figueiredo,,,,,,,,2025-07-23T14:40:51.037566
Marlon Vera,Bantamweight Division23-10-1 (W-L-D),23-10-1,https://www.ufc.com/athlete/marlon-vera,,,,,,,,2025-07-23T14:40:52.177647
Mario Bautista,Bantamweight Division16-2-0 (W-L-D),16-2-0,https://www.ufc.com/athlete/mario-bautista,,,,,,,,2025-07-23T14:40:53.437354
