rank,name,division,url,record,scraped_at
1,Ilia Topuria,Men's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/ilia-topuria,,2025-07-23T12:43:27.510919
2,Islam Makhachev,Men's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/islam-makhachev,,2025-07-23T12:43:27.510973
3,Merab Dvalishvili,Men's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/merab-dvalishvili,,2025-07-23T12:43:27.511009
4,Alexandre Pantoja,Men's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/alexandre-pantoja,,2025-07-23T12:43:27.511039
4,Dricus Du Plessis,Men's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/dricus-du-plessis,,2025-07-23T12:43:27.511069
6,Alexander Volkanovski,Men's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/alexander-volkanovski,,2025-07-23T12:43:27.511096
7,Magomed Ankalaev,Men's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/magomed-ankalaev,,2025-07-23T12:43:27.511122
8,Jack Della Maddalena,Men's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/jack-della-maddalena,,2025-07-23T12:43:27.511152
9,Tom Aspinall,Men's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/tom-aspinall,,2025-07-23T12:43:27.511178
10,Alex Pereira,Men's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/alex-pereira,,2025-07-23T12:43:27.511203
11,Max Holloway,Men's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/max-holloway,,2025-07-23T12:43:27.511227
12,Belal Muhammad,Men's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/belal-muhammad,,2025-07-23T12:43:27.511286
13,Arman Tsarukyan,Men's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/arman-tsarukyan,,2025-07-23T12:43:27.511313
14,Khamzat Chimaev,Men's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/khamzat-chimaev,,2025-07-23T12:43:27.511339
15,Charles Oliveira,Men's Pound-for-PoundTop Rank,https://www.ufc.com/athlete/charles-oliveira,,2025-07-23T12:43:27.511363
1,Joshua Van,Flyweight,https://www.ufc.com/athlete/joshua-van,,2025-07-23T12:43:27.511519
2,Brandon Moreno,Flyweight,https://www.ufc.com/athlete/brandon-moreno,,2025-07-23T12:43:27.511548
3,Brandon Royval,Flyweight,https://www.ufc.com/athlete/brandon-royval,,2025-07-23T12:43:27.511573
4,Amir Albazi,Flyweight,https://www.ufc.com/athlete/amir-albazi,,2025-07-23T12:43:27.511603
