rank,name,division,url,scraped_at,is_champion
1,Ilia Topuria,Men's Pound-for-Pound,https://www.ufc.com/athlete/ilia-topuria,2025-07-23T14:40:12.052467,True
2,Islam Makhachev,Men's Pound-for-Pound,https://www.ufc.com/athlete/islam-makhachev,2025-07-23T14:40:12.052593,False
3,Merab Dvalishvili,Men's Pound-for-Pound,https://www.ufc.com/athlete/merab-dvalishvili,2025-07-23T14:40:12.052638,False
4,Dricus Du Plessis,Men's Pound-for-Pound,https://www.ufc.com/athlete/dricus-du-plessis,2025-07-23T14:40:12.052667,False
5,Alexandre Pantoja,Men's Pound-for-Pound,https://www.ufc.com/athlete/alexandre-pantoja,2025-07-23T14:40:12.052694,False
6,Alexander Volkanovski,Men's Pound-for-Pound,https://www.ufc.com/athlete/alexander-volkanovski,2025-07-23T14:40:12.052716,False
7,Magomed Ankalaev,Men's Pound-for-Pound,https://www.ufc.com/athlete/magomed-ankalaev,2025-07-23T14:40:12.052735,False
8,Jack Della Maddalena,Men's Pound-for-Pound,https://www.ufc.com/athlete/jack-della-maddalena,2025-07-23T14:40:12.052759,False
9,Tom Aspinall,Men's Pound-for-Pound,https://www.ufc.com/athlete/tom-aspinall,2025-07-23T14:40:12.052783,False
10,Alex Pereira,Men's Pound-for-Pound,https://www.ufc.com/athlete/alex-pereira,2025-07-23T14:40:12.052806,False
11,Max Holloway,Men's Pound-for-Pound,https://www.ufc.com/athlete/max-holloway,2025-07-23T14:40:12.052830,False
12,Belal Muhammad,Men's Pound-for-Pound,https://www.ufc.com/athlete/belal-muhammad,2025-07-23T14:40:12.052854,False
13,Arman Tsarukyan,Men's Pound-for-Pound,https://www.ufc.com/athlete/arman-tsarukyan,2025-07-23T14:40:12.052878,False
14,Khamzat Chimaev,Men's Pound-for-Pound,https://www.ufc.com/athlete/khamzat-chimaev,2025-07-23T14:40:12.052899,False
15,Charles Oliveira,Men's Pound-for-Pound,https://www.ufc.com/athlete/charles-oliveira,2025-07-23T14:40:12.052925,False
1,Alexandre Pantoja,Flyweight,https://www.ufc.com/athlete/alexandre-pantoja,2025-07-23T14:40:12.053737,True
2,Joshua Van,Flyweight,https://www.ufc.com/athlete/joshua-van,2025-07-23T14:40:12.053767,False
3,Brandon Moreno,Flyweight,https://www.ufc.com/athlete/brandon-moreno,2025-07-23T14:40:12.053795,False
4,Brandon Royval,Flyweight,https://www.ufc.com/athlete/brandon-royval,2025-07-23T14:40:12.053822,False
5,Amir Albazi,Flyweight,https://www.ufc.com/athlete/amir-albazi,2025-07-23T14:40:12.053848,False
6,Kai Kara-France,Flyweight,https://www.ufc.com/athlete/kai-kara-france,2025-07-23T14:40:12.053873,False
7,Tatsuro Taira,Flyweight,https://www.ufc.com/athlete/tatsuro-taira,2025-07-23T14:40:12.053895,False
8,Manel Kape,Flyweight,https://www.ufc.com/athlete/manel-kape,2025-07-23T14:40:12.053917,False
9,Alex Perez,Flyweight,https://www.ufc.com/athlete/alex-perez,2025-07-23T14:40:12.053940,False
10,Asu Almabayev,Flyweight,https://www.ufc.com/athlete/assu-almabayev,2025-07-23T14:40:12.053960,False
11,Steve Erceg,Flyweight,https://www.ufc.com/athlete/steve-erceg,2025-07-23T14:40:12.053983,False
12,Tim Elliott,Flyweight,https://www.ufc.com/athlete/tim-elliott,2025-07-23T14:40:12.054008,False
13,Tagir Ulanbekov,Flyweight,https://www.ufc.com/athlete/tagir-ulanbekov,2025-07-23T14:40:12.054026,False
14,Ramazan Temirov,Flyweight,https://www.ufc.com/athlete/ramazan-temirov,2025-07-23T14:40:12.054049,False
15,Bruno Silva,Flyweight,https://www.ufc.com/athlete/bruno-silva,2025-07-23T14:40:12.054075,False
16,Kai Asakura,Flyweight,https://www.ufc.com/athlete/kai-asakura,2025-07-23T14:40:12.054097,False
1,Merab Dvalishvili,Bantamweight,https://www.ufc.com/athlete/merab-dvalishvili,2025-07-23T14:40:12.054949,True
2,Sean O'Malley,Bantamweight,https://www.ufc.com/athlete/sean-omalley,2025-07-23T14:40:12.054977,False
3,Umar Nurmagomedov,Bantamweight,https://www.ufc.com/athlete/umar-nurmagomedov,2025-07-23T14:40:12.055004,False
4,Petr Yan,Bantamweight,https://www.ufc.com/athlete/petr-yan,2025-07-23T14:40:12.055025,False
5,Cory Sandhagen,Bantamweight,https://www.ufc.com/athlete/cory-sandhagen,2025-07-23T14:40:12.055050,False
6,Song Yadong,Bantamweight,https://www.ufc.com/athlete/yadong-song,2025-07-23T14:40:12.055069,False
7,Deiveson Figueiredo,Bantamweight,https://www.ufc.com/athlete/deiveson-figueiredo,2025-07-23T14:40:12.055091,False
8,Marlon Vera,Bantamweight,https://www.ufc.com/athlete/marlon-vera,2025-07-23T14:40:12.055115,False
9,Mario Bautista,Bantamweight,https://www.ufc.com/athlete/mario-bautista,2025-07-23T14:40:12.055139,False
10,Rob Font,Bantamweight,https://www.ufc.com/athlete/rob-font,2025-07-23T14:40:12.055163,False
11,Henry Cejudo,Bantamweight,https://www.ufc.com/athlete/henry-cejudo,2025-07-23T14:40:12.055187,False
12,Aiemann Zahabi,Bantamweight,https://www.ufc.com/athlete/aiemann-zahabi,2025-07-23T14:40:12.055209,False
13,Marcus McGhee,Bantamweight,https://www.ufc.com/athlete/marcus-mcghee,2025-07-23T14:40:12.055232,False
14,Vinicius Oliveira,Bantamweight,https://www.ufc.com/athlete/vinicius-oliveira,2025-07-23T14:40:12.055253,False
15,Kyler Phillips,Bantamweight,https://www.ufc.com/athlete/kyler-phillips,2025-07-23T14:40:12.055275,False
16,Montel Jackson,Bantamweight,https://www.ufc.com/athlete/montel-jackson,2025-07-23T14:40:12.055298,False
1,Alexander Volkanovski,Featherweight,https://www.ufc.com/athlete/alexander-volkanovski,2025-07-23T14:40:12.056102,True
2,Movsar Evloev,Featherweight,https://www.ufc.com/athlete/movsar-evloev,2025-07-23T14:40:12.056129,False
